사고정보,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
사고건수,12757,1014,853,1064,1110,1133,1019,1082,1089,1080,1140,1132,1041
사망자수,178,8,12,10,17,16,19,18,20,16,9,19,14
부상자수,17884,1506,1191,1500,1596,1613,1385,1519,1529,1507,1592,1564,1382
사고건수,12192,1006,917,1006,1046,1066,989,1040,974,1010,985,1078,1075
사망자수,159,10,10,8,11,12,8,17,19,15,16,19,14
부상자수,16738,1416,1247,1330,1423,1450,1370,1448,1366,1384,1354,1491,1459
사고건수,11753,927,857,988,955,1014,974,1029,1040,1058,971,958,982
사망자수,164,14,13,12,11,8,10,8,12,23,22,19,12
부상자수,16157,1287,1166,1393,1296,1404,1359,1436,1454,1416,1353,1276,1317
사고건수,11937,965,859,1019,963,1016,969,1030,1021,1007,1029,1039,1020
사망자수,123,10,9,15,12,11,6,14,9,13,13,4,7
부상자수,16468,1325,1215,1425,1317,1456,1297,1487,1354,1428,1369,1422,1373
사고건수,12992,996,951,1067,1100,1127,1014,1159,1128,1054,1201,1100,1095
사망자수,116,11,6,6,9,14,9,13,9,8,8,14,9
부상자수,17832,1372,1366,1462,1542,1521,1425,1552,1525,1421,1638,1466,1542
