년도,사고정보,합계,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시
2015,사고건수,12757,844,515,446,771,1106,1077,1148,1336,1442,1617,1327,1128
2015,사망자수,178,17,16,18,19,12,13,15,14,15,12,10,17
2015,부상자수,17884,1272,790,621,1099,1548,1462,1585,1823,2031,2167,1895,1591
2016,사고건수,12192,696,437,427,767,1109,1087,1134,1283,1463,1562,1210,1017
2016,사망자수,159,14,16,20,15,7,9,14,9,14,8,16,17
2016,부상자수,16738,1051,633,580,1009,1512,1545,1572,1797,1978,2004,1617,1440
2017,사고건수,11753,602,369,408,721,1113,1042,1140,1308,1467,1489,1121,973
2017,사망자수,164,13,10,30,24,8,12,12,13,8,10,9,15
2017,부상자수,16157,848,559,551,952,1497,1384,1589,1770,1994,2019,1584,1410
2018,사고건수,11937,579,386,381,657,1110,1101,1185,1329,1514,1605,1200,890
2018,사망자수,123,8,12,15,12,10,4,12,10,9,8,11,12
2018,부상자수,16468,867,582,525,861,1496,1511,1605,1839,2067,2194,1612,1309
2019,사고건수,12992,580,372,395,710,1241,1232,1332,1501,1683,1771,1246,929
2019,사망자수,116,7,11,15,11,9,10,12,7,7,7,12,8
2019,부상자수,17832,863,535,592,941,1617,1677,1841,2089,2272,2374,1693,1338
